Welcome, to, the, cars, Dataset!
Feel , free, to, analyze, and, clean, the, messy, Dataset, !
18.0,8,307.0,130.0 hp,3504,12.0,70,United States,  chevrolet chevelle malibu 
15.0,8,350.0,165.0 hp,3693,11.5,70,United States,  buick skylark 320 
18.0,8,318.0,150.0 hp,3436,11.0,70,United States,  plymouth satellite 
16.0,8,304.0,150.0 hp,3433,12.0,70,usa,  amc rebel sst 
17.0,8,302.0,140.0 hp,3449,10.5,70,usa,  FORD TORINO 
15.0,8,429.0,198.0 hp,4341,10.0,70,usa,  FORD GALAXIE 500 
14.0,8,454.0,220.0 hp,4354,9.0,70,usa,  chevrolet impala 
14.0,8,440.0,215.0 hp,4312,8.5,70,usa,  plymouth fury iii 
14.0,8,455.0,225.0 hp,4425,10.0,70,usa,  pontiac catalina 
15.0,8,390.0,190.0 hp,3850,8.5,70,usa,  amc ambassador dpl 
15.0,8,383.0,170.0 hp,3563,10.0,70,usa,  dodge challenger se 
14.0,8,340.0,160.0 hp,3609,8.0,70,usa,  plymouth 'cuda 340 
15.0,8,400.0,150.0 hp,3761,9.5,70,usa,  chevrolet monte carlo 
14.0,8,455.0,225.0 hp,3086,10.0,70,usa,  buick estate wagon (sw) 
22.0,6,198.0,95.0 hp,2833,15.5,70,usa,  plymouth duster 
18.0,6,199.0,97.0 hp,2774,15.5,70,usa,  amc hornet 
21.0,6,200.0,85.0 hp,2587,16.0,70,usa,  ford maverick 
26.0,4,97.0,46.0 hp,1835,20.5,70,europe,  vw 1131 deluxe sedan 
25.0,4,110.0,87.0 hp,2672,17.5,70,europe,  peugeot 504 
24.0,4,107.0,90.0 hp,2430,14.5,70,europe,  audi 100 ls 
25.0,4,104.0,95.0 hp,2375,17.5,70,europe,  saab 99e 
26.0,4,121.0,113.0 hp,2234,12.5,70,europe,  bmw 2002 
21.0,6,199.0,90.0 hp,2648,15.0,70,usa,  amc gremlin 
10.0,8,360.0,215.0 hp,4615,14.0,70,usa,  ford f250 
10.0,8,307.0,200.0 hp,4376,15.0,70,usa,  chevrolet c20 
11.0,8,318.0,210.0 hp,4382,13.5,70,usa,  dodge d200 
9.0,8,304.0,193.0 hp,4732,18.5,70,usa,  ih 1200d 
28.0,4,140.0,90.0 hp,2264,15.5,71,usa,  chevrolet vega 2300 
